router,granularity,model,horizon_hours,training_time_sec,MAE,RMSE,sMAPE,R2,MSLE,P99_abs_error
dallas,45min,gru_only,1,1.7816877365112305,220009816.03960395,234101245.9803572,98.29816425005524,-8.04363668580149,1.607241654898251,364959520.32
dallas,45min,gru_only,6,1.7816877365112305,551513092.5940593,558453605.0925989,137.92487222895184,-49.12490087692706,3.5559118825047364,720176278.8000001
dallas,45min,gru_only,12,1.7816877365112305,295382925.1881188,308006184.4036574,111.03789601815457,-14.765441047067503,2.1248789556677408,411278957.1200003
dallas,45min,gru_only,24,1.7816877365112305,365464475.36633664,371866056.5271037,121.40419403441311,-22.439773560280894,2.5440910039548696,480894033.2800001
dallas,45min,lstm_only,1,2.475949764251709,386288637.1089109,395249838.56306475,123.5789929142094,-24.779771222126325,2.6826102394793465,501466285.12000006
dallas,45min,lstm_only,6,2.475949764251709,600627792.3168317,605094451.0894051,141.58187364137217,-57.84718186456128,3.8050408576620725,676048069.6000003
dallas,45min,lstm_only,12,2.475949764251709,343997645.8217822,353125255.32823694,118.2767894126817,-19.722626995429852,2.408173002298544,431554776.08000004
dallas,45min,lstm_only,24,2.475949764251709,518681184.5940594,523871872.57640535,136.21348310754854,-45.51901363843621,3.4413445561455562,620365391.76
dallas,45min,nhits,1,0.375286340713501,182784987.92079207,203316725.54501516,88.80383711665043,-5.821531201273506,1.3347309929925508,384380965.76000005
dallas,45min,nhits,6,0.375286340713501,225427930.25742576,240220792.52688593,97.5542627168147,-8.274713863234131,1.536062806525881,354068878.6400001
dallas,45min,nhits,12,0.375286340713501,230636096.4016089,245559155.72881803,102.39906208308666,-9.02073355195513,8.8024366035065,349433861.20000005
dallas,45min,nhits,24,0.375286340713501,372285541.1881188,377636645.5183838,122.44431315724862,-23.17289121979826,2.5506276505669985,502058250.00000006
dallas,1H,hybrid_gru_lstm,1,1.6105005741119385,466116638.2631579,480227529.29189324,118.52709075728984,-21.49755245683548,2.420601596098294,644411634.32
dallas,1H,hybrid_gru_lstm,6,1.6105005741119385,787573199.7894737,792833848.5167501,140.84382118087854,-59.3825935515668,3.699701215290977,888504745.0400001
dallas,1H,hybrid_gru_lstm,12,1.6105005741119385,579190908.7894737,588396746.2755505,128.34702878431793,-33.55129351836918,2.9008161438669298,690273560.88
dallas,1H,hybrid_gru_lstm,24,1.6105005741119385,620439525.1578947,627581081.5927049,131.5598710886319,-38.561393992233924,3.126661597925398,766856312.72
dallas,1H,gru_only,1,0.8156933784484863,477049407.94736844,488423182.7148482,119.93435667985848,-22.271999907841302,2.449724117102145,645358149.5200001
dallas,1H,gru_only,6,0.8156933784484863,859030334.9473684,864633925.0561063,144.09231487544102,-70.81446669913035,3.978062846728525,979114584.1600001
dallas,1H,gru_only,12,0.8156933784484863,730135620.3684211,736983421.0749773,138.14882795274661,-53.204984234084165,3.5187408701156775,860987868.0800003
dallas,1H,gru_only,24,0.8156933784484863,534565877.15789473,540934512.3500861,125.41920865158114,-28.391468212181465,2.735680102596669,672318539.92
dallas,1H,lstm_only,1,1.4903295040130615,447645752.3684211,460597223.89073974,116.92808927407185,-19.695875353259563,2.3314848607380383,579682070.48
dallas,1H,lstm_only,6,1.4903295040130615,642052515.1578947,649237128.3604655,132.37811596825267,-39.490588851118076,3.1277526544257324,740052575.36
dallas,1H,lstm_only,12,1.4903295040130615,583504723.5263158,592230691.3036327,128.72592560492328,-34.00302726903811,2.9158711826936616,687509700.64
dallas,1H,lstm_only,24,1.4903295040130615,426356173.57894737,437218378.3074442,114.97492444098629,-18.201215310535964,2.2685209267904294,561651010.96
dallas,1H,nhits,1,0.2989068031311035,148216186.36842105,172155066.23212725,67.76190911769233,-1.8912176302838275,0.7607477695256506,345267174.88
dallas,1H,nhits,6,0.2989068031311035,216429630.84210527,241984460.34324324,85.08032991680186,-4.624997729469032,7.764282168056923,417852213.6
dallas,1H,nhits,12,0.2989068031311035,499959275.31578946,516312506.65516615,120.50748054132183,-25.604130910220555,2.481305531388911,668216403.36
dallas,1H,nhits,24,0.2989068031311035,641367957.1578947,647279450.9099603,133.2375291338274,-41.08385726359529,3.182980506741433,828006543.7600002
dallas,2H,hybrid_gru_lstm,1,0.4833958148956299,1154103776.7272727,1167778810.021482,126.93272072494777,-43.51126056215913,2.7467978467582794,1368011783.36
dallas,2H,hybrid_gru_lstm,6,0.4833958148956299,1184320991.4805195,1197047739.320498,128.17380216780737,-46.2190460428593,2.805812653013358,1409075329.5999994
dallas,2H,hybrid_gru_lstm,12,0.4833958148956299,1127634763.116883,1141397006.2108994,126.5996308974246,-43.531969811862275,2.7121811815995303,1449584097.6
dallas,2H,hybrid_gru_lstm,24,0.4833958148956299,1481619407.5844157,1491185859.2012212,137.93361144839454,-76.4928952102888,3.411075146370133,1688426448.9599998
dallas,2H,gru_only,1,0.3254694938659668,737020013.1948051,759347216.9109049,106.40745092156492,-17.82042922417095,1.832511645719545,954209841.2799999
